看似	看似	AUX	cop	簡單	簡單	ADJ	1
五	五	NUM	nummod	穀	穀	NOUN	1
穀	穀	NOUN	nmod	雜糧	雜糧	NOUN	1
雜糧	雜糧	NOUN	obj	吃	吃	VERB	1
長大	長大	VERB	xcomp	都是	都是	VERB	1
,	,	PUNCT	punct	生病	生病	VERB	1
本來	本來	ADV	advmod	生病	生病	VERB	1
就	就	ADV	mark	生病	生病	VERB	1
會	會	AUX	aux	生病	生病	VERB	1
生病	生病	VERB	dep	不是	不是	VERB	1
;	;	PUNCT	punct	不是	不是	VERB	1
而且	而且	ADV	mark	不是	不是	VERB	1
裝病	裝病	VERB	csubj:pass	拆穿	拆穿	VERB	1
萬一	萬一	ADV	advmod	拆穿	拆穿	VERB	1
被	被	VERB	aux:pass	拆穿	拆穿	VERB	2
拆穿	拆穿	VERB	dep	不是	不是	VERB	1
了	了	X	discourse	拆穿	拆穿	VERB	1
,	,	PUNCT	punct	不是	不是	VERB	8
豈	豈	ADV	advmod	不是	不是	VERB	1
不是	不是	VERB	ccomp	否認	否認	VERB	1
無法	無法	VERB	xcomp	不是	不是	VERB	1
對	對	ADP	case	觀眾	觀眾	NOUN	1
廣大	廣大	ADJ	amod	觀眾	觀眾	NOUN	1
的	的	PART	mark:relcl	廣大	廣大	ADJ	1
觀眾	觀眾	NOUN	obl	交代	交代	VERB	1
交代	交代	VERB	xcomp	無法	無法	VERB	1
?	?	PUNCT	punct	不是	不是	VERB	1
該劇	該劇	NOUN	nmod	紅	紅	PROPN	1
兩	兩	NUM	nummod	位	位	NOUN	6
位	位	NOUN	clf	編劇	編劇	NOUN	1
編劇	編劇	NOUN	nmod	紅	紅	PROPN	1
獨孤	獨孤	PROPN	nmod	紅	紅	PROPN	1
紅	紅	PROPN	nsubj	參考	參考	VERB	1
、	、	PUNCT	punct	文忠	文忠	PROPN	1
羅	羅	PROPN	nmod	文忠	文忠	PROPN	1
文忠	文忠	PROPN	conj	紅	紅	PROPN	1
在	在	ADP	case	寫	寫	VERB	1
寫	寫	VERB	xcomp	參考	參考	VERB	1
劇本	劇本	NOUN	obj	寫	寫	VERB	1
時	時	ADP	acl	寫	寫	VERB	1
,	,	PUNCT	punct	參考	參考	VERB	4
幾乎	幾乎	ADV	advmod	參考	參考	VERB	1
參考	參考	VERB	root	ROOT	ROOT	ROOT	2
了	了	PART	case:aspect	參考	參考	VERB	2
所有	所有	DET	det	資料	資料	NOUN	1
有關	有關	ADP	det	資料	資料	NOUN	1
武	武	PROPN	nmod	則天	則天	PROPN	3
則天	則天	PROPN	nmod	有關	有關	ADP	1
的	的	PART	case:dec	有關	有關	ADP	4
資料	資料	NOUN	nsubj	如	如	VERB	1
如	如	VERB	ccomp	參考	參考	VERB	1
林	林	PROPN	nmod	傳	傳	PART	1
語堂	語堂	PROPN	nmod	傳	傳	PART	1
《	《	PUNCT	punct	傳	傳	PART	5
武	武	PROPN	nmod	傳	傳	PART	1
則天	則天	PROPN	nmod	傳	傳	PART	1
傳	傳	PART	obj	如	如	VERB	1
》	》	PUNCT	punct	則天	則天	PROPN	1
、	、	PUNCT	punct	則天	則天	PROPN	1
陳	陳	PROPN	nmod	則天	則天	PROPN	1
虹	虹	PROPN	nmod	則天	則天	PROPN	1
《	《	PUNCT	punct	則天	則天	PROPN	1
則天	則天	PROPN	conj	傳	傳	PART	1
與	與	CCONJ	cc	仁傑	仁傑	PROPN	1
狄	狄	PROPN	nmod	仁傑	仁傑	PROPN	1
仁傑	仁傑	PROPN	conj	則天	則天	PROPN	1
》	》	PUNCT	punct	演義	演義	NOUN	2
、	、	PUNCT	punct	演義	演義	NOUN	1
《	《	PUNCT	punct	演義	演義	NOUN	1
歷代	歷代	NOUN	nmod	演義	演義	NOUN	1
通俗	通俗	ADJ	amod	演義	演義	NOUN	1
演義	演義	NOUN	conj	則天	則天	PROPN	1
、	、	PUNCT	punct	列傳	列傳	NOUN	1
童	童	PROPN	nmod	列傳	列傳	NOUN	1
煦	煦	PROPN	nmod	列傳	列傳	NOUN	1
《	《	PUNCT	punct	列傳	列傳	NOUN	2
中國	中國	PROPN	nmod	后妃	后妃	NOUN	1
后妃	后妃	NOUN	nmod	列傳	列傳	NOUN	1
列傳	列傳	NOUN	conj	傳	傳	PART	1
》	》	PUNCT	punct	列傳	列傳	NOUN	2
、	、	PUNCT	punct	艷姬	艷姬	NOUN	1
黃	黃	PROPN	nmod	艷姬	艷姬	NOUN	1
柏松	柏松	PROPN	nmod	艷姬	艷姬	NOUN	1
《	《	PUNCT	punct	艷姬	艷姬	NOUN	1
中國	中國	PROPN	nmod	艷姬	艷姬	NOUN	1
艷姬	艷姬	NOUN	conj	傳	傳	PART	1
》	》	PUNCT	punct	艷姬	艷姬	NOUN	1
......	......	PUNCT	punct	傳	傳	PART	1
等	等	NOUN	acl	傳	傳	PART	1
.	.	PUNCT	punct	參考	參考	VERB	2
台	台	PART	nsubj	演成	演成	VERB	1
把	把	VERB	aux:caus	演成	演成	VERB	1
一	一	NUM	nummod	個	個	NOUN	245
個	個	NOUN	clf	則天	則天	PROPN	1
跋扈	跋扈	ADJ	advcl	專橫	專橫	ADJ	1
專橫	專橫	ADJ	acl:relcl	則天	則天	PROPN	1
、	、	PUNCT	punct	篡國	篡國	VERB	1
亂倫	亂倫	VERB	acl	篡國	篡國	VERB	1
篡國	篡國	VERB	conj	專橫	專橫	ADJ	1
的	的	PART	mark:relcl	專橫	專橫	ADJ	1
則天	則天	PROPN	obj	演成	演成	VERB	1
演成	演成	VERB	dep	是	是	VERB	1
柔弱	柔弱	ADJ	amod	女子	女子	NOUN	1
堪憐	堪憐	ADJ	conj	柔弱	柔弱	ADJ	1
的	的	PART	mark:relcl	柔弱	柔弱	ADJ	1
女子	女子	NOUN	iobj	演成	演成	VERB	1
這	這	PRON	nsubj	是	是	VERB	10
是	是	VERB	root	ROOT	ROOT	ROOT	145
我	我們	PRON	nsubj	容忍	容忍	VERB	1
所	所	ADV	mark	容忍	容忍	VERB	1
不能	不能	AUX	aux	容忍	容忍	VERB	1
容忍	容忍	VERB	ccomp	是	是	VERB	1
的	的	X	discourse	是	是	VERB	51
.	.	PUNCT	punct	是	是	VERB	143
UMLS	UMLS	X	nsubj	用	用	VERB	1
可	可	AUX	aux	用	用	VERB	5
用	用	VERB	root	ROOT	ROOT	ROOT	22
於	於	VERB	mark	用	用	VERB	18
設計	設計	VERB	xcomp	用	用	VERB	1
信息	信息	NOUN	nmod	檢索	檢索	NOUN	1
檢索	檢索	NOUN	obj	設計	設計	VERB	1
或	或	CCONJ	cc	系統	系統	NOUN	2
病歷	病歷	NOUN	nmod	系統	系統	NOUN	1
系統	系統	NOUN	conj	檢索	檢索	NOUN	1
,	,	PUNCT	punct	促進	促進	VERB	5
促進	促進	VERB	conj	用	用	VERB	1
不同	不同	ADJ	amod	系統	系統	NOUN	1
系統	系統	NOUN	det	交流	交流	NOUN	1
之間	之間	ADP	acl	系統	系統	NOUN	1
的	的	PART	case:dec	系統	系統	NOUN	4
通訊	通訊	NOUN	nmod	交流	交流	NOUN	2
交流	交流	NOUN	obj	促進	促進	VERB	1
,	,	PUNCT	punct	用	用	VERB	27
或者	或者	CCONJ	cc	用	用	VERB	1
用	用	VERB	conj	用	用	VERB	1
開發	開發	VERB	xcomp	用	用	VERB	2
能夠	能夠	AUX	aux	解析	解析	VERB	1
解析	解析	VERB	acl:relcl	系統	系統	NOUN	1
生物	生物	NOUN	nmod	文獻	文獻	NOUN	1
醫學	醫學	NOUN	nmod	文獻	文獻	NOUN	1
文獻	文獻	NOUN	obj	解析	解析	VERB	1
的	的	PART	mark:relcl	解析	解析	VERB	1
系統	系統	NOUN	obj	開發	開發	VERB	1
.	.	PUNCT	punct	用	用	VERB	21
一	一	NUM	nummod	支	支	NOUN	5
支	支	NOUN	clf	民兵	民兵	NOUN	1
由	由	VERB	acl:relcl	民兵	民兵	NOUN	1
白人	白人	NOUN	nmod	軍官	軍官	NOUN	1
軍官	軍官	NOUN	nsubj	帶領	帶領	VERB	1
帶領	帶領	VERB	ccomp	由	由	VERB	1
的	的	PART	mark:relcl	由	由	VERB	22
黑人	黑人	NOUN	nmod	民兵	民兵	NOUN	1
民兵	民兵	NOUN	nsubj	企圖	企圖	VERB	1
洗劫	洗劫	VERB	acl	企圖	企圖	VERB	1
了	了	PART	case:aspect	洗劫	洗劫	VERB	1
卡梅隆	卡梅隆	PROPN	nmod	莊園	莊園	NOUN	1
莊園	莊園	NOUN	obj	洗劫	洗劫	VERB	1
,	,	PUNCT	punct	洗劫	洗劫	VERB	1
並且	並且	ADV	mark	企圖	企圖	VERB	1
企圖	企圖	VERB	dep	拯救	拯救	VERB	1
強暴	強暴	VERB	xcomp	企圖	企圖	VERB	1
卡梅隆	卡梅隆	PROPN	case:suff	家	家	PART	1
家	家	PART	det	女眷	女眷	NOUN	1
的	的	PART	case:dec	家	家	PART	3
每	每	DET	det	個	個	NOUN	5
個	個	NOUN	nmod	女眷	女眷	NOUN	1
女眷	女眷	NOUN	obj	強暴	強暴	VERB	1
,	,	PUNCT	punct	拯救	拯救	VERB	3
但	但	ADV	mark	擊潰	擊潰	VERB	1
邦聯	邦聯	NOUN	nmod	軍隊	軍隊	NOUN	1
軍隊	軍隊	NOUN	nsubj	擊潰	擊潰	VERB	1
擊潰	擊潰	VERB	acl	拯救	拯救	VERB	1
這些	這些	DET	det	民兵	民兵	NOUN	1
民兵	民兵	NOUN	obj	擊潰	擊潰	VERB	1
拯救	拯救	VERB	root	ROOT	ROOT	ROOT	2
了	了	PART	case:aspect	拯救	拯救	VERB	2
她	她們	PRON	obj	拯救	拯救	VERB	1
.	.	PUNCT	punct	拯救	拯救	VERB	2
2006	2006	NUM	nummod	年	年	NOUN	32
年	年	NOUN	nmod:tmod	剩下	剩下	VERB	1
剩下	剩下	VERB	acl:relcl	時光	時光	NOUN	1
的	的	PART	mark:relcl	剩下	剩下	VERB	2
時光	時光	NOUN	nmod:tmod	用	用	VERB	1
樂團	樂團	NOUN	nsubj	用	用	VERB	1
都	都	ADV	mark	用	用	VERB	2
用	用	VERB	dep	發行	發行	VERB	1
來	來	ADV	mark	編寫	編寫	VERB	1
編寫	編寫	VERB	xcomp	用	用	VERB	1
與	與	CCONJ	cc	錄製	錄製	VERB	1
錄製	錄製	VERB	conj	編寫	編寫	VERB	1
樂團	樂團	NOUN	det	專輯	專輯	NOUN	1
的	的	PART	case:dec	樂團	樂團	NOUN	5
第三	第三	NUM	nummod	張	張	NOUN	1
張	張	NOUN	clf	專輯	專輯	NOUN	5
專輯	專輯	NOUN	appos	不道	不道	VERB	1
閒言閒語	閒言閒語	NOUN	advmod	不道	不道	VERB	1
就是	就是	ADV	mark	不道	不道	VERB	1
不道	不道	VERB	obj	錄製	錄製	VERB	1
自己	自己	PRON	obj	不道	不道	VERB	1
,	,	PUNCT	punct	發行	發行	VERB	4
該	該	DET	det	專輯	專輯	NOUN	1
專輯	專輯	NOUN	nsubj	發行	發行	VERB	1
並	並	ADV	mark	發行	發行	VERB	2
在	在	ADP	case	月	月	NOUN	18
2007	2007	NUM	nummod	年	年	NOUN	36
年	年	NOUN	clf	月	月	NOUN	105
5	5	NUM	nummod	月	月	NOUN	42
月	月	NOUN	obl	發行	發行	VERB	1
發行	發行	VERB	root	ROOT	ROOT	ROOT	3
.	.	PUNCT	punct	發行	發行	VERB	3
當時	當時	NOUN	nmod:tmod	決定	決定	VERB	1
他	他	PRON	nsubj	決定	決定	VERB	2
對	對	ADP	case	巴黎	巴黎	PROPN	1
巴黎	巴黎	PROPN	nmod	不已	不已	ADJ	1
個	個	NOUN	clf	法國	法國	PROPN	1
法國	法國	PROPN	nmod	首都	首都	NOUN	1
首都	首都	NOUN	appos	巴黎	巴黎	PROPN	1
興奮	興奮	ADJ	cop	不已	不已	ADJ	1
不已	不已	ADJ	acl	決定	決定	VERB	1
,	,	PUNCT	punct	決定	決定	VERB	25
並	並	ADV	mark	決定	決定	VERB	2
決定	決定	VERB	dep	由	由	VERB	1
將	將	VERB	aux:caus	化成	化成	VERB	1
各種	各種	DET	det	印象	印象	NOUN	1
印象	印象	NOUN	obj	化成	化成	VERB	1
和	和	CCONJ	cc	想像	想像	NOUN	1
想像	想像	NOUN	conj	印象	印象	NOUN	1
化成	化成	VERB	acl	作	作	VERB	1
音樂	音樂	NOUN	obj	化成	化成	VERB	1
作	作	VERB	xcomp	決定	決定	VERB	1
為	為	VERB	mark	作	作	VERB	43
表達	表達	NOUN	obj	作	作	VERB	1
;	;	PUNCT	punct	由	由	VERB	1
他	他	PRON	nsubj	進行	進行	VERB	2
在	在	VERB	acl	譜寫	譜寫	VERB	1
巴黎	巴黎	PROPN	obj	在	在	VERB	2
譜寫	譜寫	VERB	acl	進行	進行	VERB	1
此	此	DET	det	樂曲	樂曲	NOUN	1
樂曲	樂曲	NOUN	obj	譜寫	譜寫	VERB	1
,	,	PUNCT	punct	譜寫	譜寫	VERB	1
在	在	ADP	case	途中	途中	NOUN	1
一	一	NUM	nummod	次	次	NOUN	23
次	次	NOUN	clf	行程	行程	NOUN	1
前往	前往	VERB	amod	行程	行程	NOUN	1
維也納	維也納	PROPN	obj	前往	前往	VERB	1
行程	行程	NOUN	det	途中	途中	NOUN	1
的	的	PART	case:dec	行程	行程	NOUN	1
途中	途中	NOUN	obl	進行	進行	VERB	1
進行	進行	VERB	acl	由	由	VERB	1
配器	配器	NOUN	nmod	工作	工作	NOUN	1
工作	工作	NOUN	obj	進行	進行	VERB	2
首演	首演	NOUN	nsubj	由	由	VERB	1
則	則	ADV	mark	在	在	VERB	1
在	在	VERB	acl	由	由	VERB	3
